id,on_surface,patch_size,ppi_in_patch,random_patch_size,rank,size,total_ppis
4WFCA,95.0,2.0,1.0,1.0,3.0,132.0,55.0
4WFCA,95.0,1.0,1.0,1.0,4.0,123.0,55.0
4WFCA,95.0,1.0,1.0,1.0,5.0,90.0,55.0
4WFCA,95.0,1.0,1.0,0.0,6.0,64.0,55.0
4Z7KA,192.0,4.0,0.0,0.0,1.0,433.0,17.0
4Z7KA,192.0,9.0,3.0,1.0,2.0,365.0,17.0
4Z7KA,192.0,6.0,0.0,0.0,3.0,318.0,17.0
4Z7KA,192.0,6.0,0.0,1.0,4.0,242.0,17.0
4Z7KA,192.0,6.0,0.0,0.0,5.0,205.0,17.0
4Z7KA,192.0,5.0,0.0,2.0,6.0,204.0,17.0
4Z7KA,192.0,6.0,1.0,0.0,7.0,183.0,17.0
4Z7KA,192.0,4.0,0.0,0.0,8.0,158.0,17.0
4Z7KA,192.0,1.0,1.0,0.0,9.0,126.0,17.0
4Z7KA,192.0,3.0,0.0,0.0,10.0,95.0,17.0
4Z7KA,192.0,2.0,1.0,0.0,11.0,89.0,17.0
4Z7KA,192.0,3.0,0.0,1.0,12.0,87.0,17.0
4Z7KA,192.0,1.0,0.0,0.0,13.0,82.0,17.0
4Z7KA,192.0,3.0,0.0,1.0,14.0,65.0,17.0
4Z7KA,192.0,4.0,0.0,0.0,15.0,52.0,17.0
4Z7KA,192.0,4.0,0.0,0.0,16.0,28.0,17.0
4Z7KA,192.0,1.0,0.0,0.0,17.0,28.0,17.0
4Z7KA,192.0,1.0,0.0,0.0,18.0,28.0,17.0
4Z7KA,192.0,1.0,0.0,0.0,19.0,24.0,17.0
4Z7KA,192.0,1.0,0.0,0.0,20.0,18.0,17.0
5I9EE,41.0,8.0,5.0,7.0,1.0,711.0,29.0
5I9EE,41.0,3.0,3.0,2.0,2.0,352.0,29.0
5I9EE,41.0,3.0,3.0,1.0,3.0,297.0,29.0
5I9EE,41.0,1.0,1.0,0.0,4.0,196.0,29.0
5BW0B,83.0,21.0,10.0,6.0,1.0,842.0,27.0
5BW0B,83.0,2.0,1.0,0.0,2.0,188.0,27.0
5BW0B,83.0,1.0,0.0,0.0,3.0,181.0,27.0
5BW0B,83.0,1.0,0.0,0.0,4.0,116.0,27.0
5BW0B,83.0,1.0,1.0,0.0,5.0,111.0,27.0
5BW0B,83.0,1.0,1.0,0.0,6.0,62.0,27.0
5BW0B,83.0,1.0,1.0,0.0,7.0,62.0,27.0
5BW0B,83.0,1.0,0.0,0.0,8.0,29.0,27.0
5BW0B,83.0,1.0,0.0,0.0,9.0,21.0,27.0
5BW0B,83.0,1.0,0.0,0.0,10.0,21.0,27.0
5BW0B,83.0,1.0,0.0,1.0,11.0,21.0,27.0
5BW0B,83.0,1.0,0.0,0.0,12.0,15.0,27.0
5LX8A,449.0,16.0,1.0,3.0,1.0,634.0,95.0
5LX8A,449.0,12.0,0.0,0.0,2.0,569.0,95.0
5LX8A,449.0,11.0,5.0,2.0,3.0,443.0,95.0
5LX8A,449.0,10.0,0.0,3.0,4.0,393.0,95.0
5LX8A,449.0,8.0,4.0,2.0,5.0,327.0,95.0
5LX8A,449.0,6.0,0.0,0.0,6.0,302.0,95.0
5LX8A,449.0,5.0,2.0,1.0,7.0,292.0,95.0
5LX8A,449.0,4.0,0.0,1.0,8.0,241.0,95.0
5LX8A,449.0,2.0,0.0,2.0,9.0,238.0,95.0
5LX8A,449.0,7.0,0.0,1.0,10.0,218.0,95.0
5LX8A,449.0,6.0,3.0,0.0,11.0,175.0,95.0
5LX8A,449.0,2.0,0.0,1.0,12.0,168.0,95.0
5LX8A,449.0,2.0,2.0,1.0,13.0,159.0,95.0
5LX8A,449.0,1.0,1.0,0.0,14.0,133.0,95.0
5LX8A,449.0,2.0,1.0,1.0,15.0,124.0,95.0
5LX8A,449.0,5.0,1.0,3.0,16.0,104.0,95.0
5LX8A,449.0,3.0,0.0,0.0,17.0,100.0,95.0
5LX8A,449.0,2.0,0.0,0.0,18.0,97.0,95.0
5LX8A,449.0,2.0,1.0,0.0,19.0,94.0,95.0
5LX8A,449.0,2.0,0.0,0.0,20.0,81.0,95.0
3P6ZC,7.0,2.0,2.0,2.0,1.0,332.0,7.0
1KSIA,583.0,34.0,7.0,9.0,1.0,1511.0,158.0
1KSIA,583.0,25.0,8.0,5.0,2.0,893.0,158.0
1KSIA,583.0,18.0,10.0,3.0,3.0,850.0,158.0
1KSIA,583.0,9.0,6.0,1.0,4.0,475.0,158.0
1KSIA,583.0,5.0,4.0,1.0,5.0,391.0,158.0
1KSIA,583.0,8.0,5.0,1.0,6.0,341.0,158.0
1KSIA,583.0,7.0,0.0,1.0,7.0,334.0,158.0
1KSIA,583.0,3.0,3.0,0.0,8.0,327.0,158.0
1KSIA,583.0,5.0,4.0,0.0,9.0,277.0,158.0
1KSIA,583.0,4.0,0.0,2.0,10.0,245.0,158.0
1KSIA,583.0,2.0,2.0,1.0,11.0,201.0,158.0
1KSIA,583.0,1.0,1.0,0.0,12.0,190.0,158.0
1KSIA,583.0,5.0,0.0,0.0,13.0,189.0,158.0
1KSIA,583.0,5.0,0.0,2.0,14.0,170.0,158.0
1KSIA,583.0,2.0,2.0,0.0,15.0,160.0,158.0
1KSIA,583.0,2.0,2.0,0.0,16.0,157.0,158.0
1KSIA,583.0,1.0,1.0,0.0,17.0,149.0,158.0
1KSIA,583.0,4.0,0.0,2.0,18.0,137.0,158.0
1KSIA,583.0,1.0,1.0,1.0,19.0,127.0,158.0
1KSIA,583.0,1.0,1.0,0.0,20.0,112.0,158.0
4WBDA,479.0,25.0,18.0,1.0,1.0,1503.0,29.0
4WBDA,479.0,15.0,0.0,1.0,2.0,632.0,29.0
4WBDA,479.0,7.0,0.0,0.0,3.0,282.0,29.0
4WBDA,479.0,6.0,0.0,1.0,4.0,274.0,29.0
4WBDA,479.0,5.0,0.0,0.0,5.0,259.0,29.0
4WBDA,479.0,5.0,0.0,1.0,6.0,249.0,29.0
4WBDA,479.0,7.0,0.0,0.0,7.0,228.0,29.0
4WBDA,479.0,5.0,0.0,1.0,8.0,214.0,29.0
4WBDA,479.0,4.0,0.0,0.0,9.0,197.0,29.0
4WBDA,479.0,8.0,0.0,0.0,10.0,172.0,29.0
4WBDA,479.0,5.0,0.0,0.0,11.0,155.0,29.0
4WBDA,479.0,3.0,0.0,0.0,12.0,133.0,29.0
4WBDA,479.0,4.0,0.0,0.0,13.0,121.0,29.0
4WBDA,479.0,3.0,0.0,0.0,14.0,107.0,29.0
4WBDA,479.0,3.0,0.0,0.0,15.0,91.0,29.0
4WBDA,479.0,1.0,0.0,0.0,16.0,85.0,29.0
4WBDA,479.0,3.0,0.0,0.0,17.0,78.0,29.0
4WBDA,479.0,3.0,0.0,1.0,18.0,75.0,29.0
4WBDA,479.0,4.0,0.0,0.0,19.0,69.0,29.0
4WBDA,479.0,3.0,0.0,0.0,20.0,61.0,29.0
3BF4A,112.0,36.0,8.0,8.0,1.0,2264.0,32.0
3BF4A,112.0,9.0,4.0,2.0,2.0,435.0,32.0
3BF4A,112.0,3.0,3.0,0.0,3.0,253.0,32.0
3BF4A,112.0,1.0,1.0,0.0,4.0,87.0,32.0
3BF4A,112.0,2.0,0.0,0.0,5.0,84.0,32.0
3BF4A,112.0,1.0,0.0,0.0,6.0,60.0,32.0
3BF4A,112.0,1.0,0.0,1.0,7.0,59.0,32.0
3BF4A,112.0,1.0,0.0,0.0,8.0,11.0,32.0
3BF4A,112.0,1.0,0.0,0.0,9.0,2.0,32.0
3BRVA,39.0,11.0,10.0,7.0,1.0,947.0,28.0
3BRVA,39.0,6.0,5.0,2.0,2.0,720.0,28.0
2OZEA,232.0,18.0,10.0,4.0,1.0,775.0,24.0
2OZEA,232.0,7.0,0.0,1.0,2.0,331.0,24.0
2OZEA,232.0,3.0,0.0,0.0,3.0,255.0,24.0
2OZEA,232.0,7.0,0.0,0.0,4.0,244.0,24.0
2OZEA,232.0,9.0,0.0,1.0,5.0,216.0,24.0
2OZEA,232.0,4.0,0.0,0.0,6.0,103.0,24.0
2OZEA,232.0,2.0,0.0,0.0,7.0,93.0,24.0
2OZEA,232.0,3.0,0.0,0.0,8.0,87.0,24.0
2OZEA,232.0,1.0,0.0,0.0,9.0,84.0,24.0
2OZEA,232.0,2.0,0.0,0.0,10.0,80.0,24.0
2OZEA,232.0,1.0,0.0,0.0,11.0,67.0,24.0
2OZEA,232.0,3.0,0.0,0.0,12.0,52.0,24.0
2OZEA,232.0,1.0,0.0,0.0,13.0,45.0,24.0
2OZEA,232.0,2.0,0.0,0.0,14.0,28.0,24.0
2OZEA,232.0,1.0,0.0,0.0,15.0,18.0,24.0
2OZEA,232.0,2.0,0.0,1.0,16.0,18.0,24.0
2OZEA,232.0,1.0,0.0,0.0,17.0,18.0,24.0
2OZEA,232.0,1.0,0.0,0.0,18.0,18.0,24.0
2OZEA,232.0,1.0,0.0,0.0,19.0,17.0,24.0
2OZEA,232.0,1.0,0.0,0.0,20.0,17.0,24.0
3U2RA,124.0,10.0,10.0,4.0,1.0,779.0,43.0
3U2RA,124.0,8.0,6.0,4.0,2.0,766.0,43.0
3U2RA,124.0,9.0,0.0,5.0,3.0,412.0,43.0
3U2RA,124.0,5.0,0.0,2.0,4.0,145.0,43.0
3U2RA,124.0,4.0,0.0,1.0,5.0,130.0,43.0
3U2RA,124.0,2.0,0.0,2.0,6.0,78.0,43.0
3U2RA,124.0,1.0,0.0,0.0,7.0,68.0,43.0
3U2RA,124.0,4.0,3.0,1.0,8.0,47.0,43.0
3U2RA,124.0,1.0,0.0,0.0,9.0,33.0,43.0
3U2RA,124.0,1.0,0.0,1.0,10.0,33.0,43.0
3U2RA,124.0,1.0,0.0,1.0,11.0,20.0,43.0
3U2RA,124.0,1.0,0.0,0.0,12.0,12.0,43.0
3U2RA,124.0,1.0,0.0,0.0,13.0,3.0,43.0
3S5TA,229.0,22.0,2.0,5.0,1.0,898.0,38.0
3S5TA,229.0,8.0,0.0,2.0,2.0,294.0,38.0
3S5TA,229.0,4.0,3.0,1.0,3.0,289.0,38.0
3S5TA,229.0,5.0,3.0,1.0,4.0,259.0,38.0
3S5TA,229.0,6.0,0.0,0.0,5.0,231.0,38.0
3S5TA,229.0,3.0,0.0,0.0,6.0,159.0,38.0
3S5TA,229.0,5.0,0.0,1.0,7.0,130.0,38.0
3S5TA,229.0,3.0,0.0,2.0,8.0,125.0,38.0
3S5TA,229.0,1.0,1.0,1.0,9.0,88.0,38.0
3S5TA,229.0,2.0,0.0,0.0,10.0,74.0,38.0
3S5TA,229.0,3.0,1.0,0.0,11.0,65.0,38.0
3S5TA,229.0,1.0,0.0,0.0,12.0,60.0,38.0
3S5TA,229.0,2.0,1.0,1.0,13.0,47.0,38.0
3S5TA,229.0,2.0,0.0,0.0,14.0,46.0,38.0
3S5TA,229.0,4.0,0.0,1.0,15.0,45.0,38.0
3S5TA,229.0,4.0,0.0,1.0,16.0,42.0,38.0
3S5TA,229.0,1.0,0.0,0.0,17.0,26.0,38.0
3S5TA,229.0,2.0,0.0,0.0,18.0,24.0,38.0
3S5TA,229.0,1.0,1.0,0.0,19.0,18.0,38.0
3S5TA,229.0,2.0,0.0,0.0,20.0,14.0,38.0
3FDIA,144.0,12.0,3.0,5.0,1.0,622.0,35.0
3FDIA,144.0,9.0,0.0,2.0,2.0,289.0,35.0
3FDIA,144.0,9.0,7.0,0.0,3.0,271.0,35.0
3FDIA,144.0,4.0,0.0,0.0,4.0,102.0,35.0
3FDIA,144.0,2.0,0.0,0.0,5.0,89.0,35.0
3FDIA,144.0,1.0,0.0,0.0,6.0,47.0,35.0
3FDIA,144.0,1.0,0.0,0.0,7.0,47.0,35.0
3FDIA,144.0,1.0,0.0,0.0,8.0,43.0,35.0
3FDIA,144.0,1.0,1.0,1.0,9.0,42.0,35.0
3FDIA,144.0,1.0,0.0,1.0,10.0,20.0,35.0
3FDIA,144.0,2.0,0.0,0.0,11.0,14.0,35.0
3FDIA,144.0,1.0,0.0,0.0,12.0,14.0,35.0
3FDIA,144.0,1.0,0.0,0.0,13.0,2.0,35.0
3FDIA,144.0,1.0,0.0,0.0,14.0,0.0,35.0
3FDIA,144.0,1.0,0.0,0.0,15.0,0.0,35.0
2UVKA,307.0,11.0,4.0,1.0,1.0,655.0,24.0
2UVKA,307.0,12.0,0.0,0.0,2.0,393.0,24.0
2UVKA,307.0,9.0,0.0,0.0,3.0,334.0,24.0
2UVKA,307.0,8.0,0.0,0.0,4.0,287.0,24.0
2UVKA,307.0,5.0,0.0,0.0,5.0,231.0,24.0
2UVKA,307.0,4.0,0.0,0.0,6.0,210.0,24.0
2UVKA,307.0,7.0,0.0,0.0,7.0,181.0,24.0
2UVKA,307.0,2.0,0.0,0.0,8.0,104.0,24.0
2UVKA,307.0,2.0,0.0,0.0,9.0,98.0,24.0
2UVKA,307.0,4.0,0.0,0.0,10.0,86.0,24.0
2UVKA,307.0,2.0,0.0,0.0,11.0,83.0,24.0
2UVKA,307.0,4.0,0.0,1.0,12.0,82.0,24.0
2UVKA,307.0,1.0,0.0,0.0,13.0,72.0,24.0
2UVKA,307.0,3.0,0.0,1.0,14.0,71.0,24.0
2UVKA,307.0,2.0,0.0,0.0,15.0,47.0,24.0
2UVKA,307.0,2.0,0.0,1.0,16.0,35.0,24.0
2UVKA,307.0,2.0,0.0,0.0,17.0,35.0,24.0
2UVKA,307.0,1.0,0.0,0.0,18.0,34.0,24.0
2UVKA,307.0,3.0,0.0,1.0,19.0,33.0,24.0
2UVKA,307.0,1.0,0.0,0.0,20.0,31.0,24.0
6C3RA,133.0,15.0,1.0,2.0,1.0,922.0,31.0
6C3RA,133.0,16.0,2.0,5.0,2.0,920.0,31.0
6C3RA,133.0,8.0,8.0,0.0,3.0,685.0,31.0
6C3RA,133.0,13.0,1.0,2.0,4.0,585.0,31.0
6C3RA,133.0,1.0,1.0,0.0,5.0,230.0,31.0
6C3RA,133.0,1.0,0.0,0.0,6.0,105.0,31.0
6C3RA,133.0,2.0,0.0,0.0,7.0,55.0,31.0
6C3RA,133.0,1.0,0.0,0.0,8.0,9.0,31.0
6C3RA,133.0,1.0,0.0,0.0,9.0,1.0,31.0
4NOCA,130.0,28.0,14.0,10.0,1.0,1251.0,45.0
4NOCA,130.0,23.0,10.0,10.0,2.0,1134.0,45.0
4NOCA,130.0,8.0,0.0,2.0,3.0,277.0,45.0
4NOCA,130.0,1.0,1.0,0.0,4.0,117.0,45.0
4NOCA,130.0,1.0,0.0,1.0,5.0,60.0,45.0
4NOCA,130.0,1.0,0.0,0.0,6.0,26.0,45.0
4NOCA,130.0,1.0,0.0,1.0,7.0,17.0,45.0
4NOCA,130.0,1.0,0.0,0.0,8.0,5.0,45.0
4NOCA,130.0,1.0,0.0,0.0,9.0,5.0,45.0
3UPSA,97.0,20.0,10.0,5.0,1.0,1192.0,29.0
3UPSA,97.0,8.0,2.0,3.0,2.0,531.0,29.0
3UPSA,97.0,3.0,1.0,1.0,3.0,185.0,29.0
3UPSA,97.0,2.0,0.0,0.0,4.0,121.0,29.0
3UPSA,97.0,2.0,0.0,0.0,5.0,101.0,29.0
3UPSA,97.0,2.0,0.0,2.0,6.0,62.0,29.0
3UPSA,97.0,1.0,0.0,0.0,7.0,38.0,29.0
3UPSA,97.0,1.0,0.0,0.0,8.0,10.0,29.0
2OFYA,77.0,27.0,13.0,9.0,1.0,1511.0,24.0
2OFYA,77.0,5.0,1.0,0.0,2.0,335.0,24.0
2OFYA,77.0,1.0,0.0,0.0,3.0,127.0,24.0
2OFYA,77.0,1.0,0.0,0.0,4.0,35.0,24.0
2OFYA,77.0,1.0,1.0,0.0,5.0,26.0,24.0
2WAGA,187.0,11.0,8.0,2.0,1.0,629.0,29.0
2WAGA,187.0,2.0,1.0,0.0,2.0,186.0,29.0
2WAGA,187.0,2.0,0.0,1.0,3.0,151.0,29.0
2WAGA,187.0,3.0,0.0,1.0,4.0,142.0,29.0
2WAGA,187.0,1.0,0.0,0.0,5.0,140.0,29.0
2WAGA,187.0,1.0,1.0,1.0,6.0,132.0,29.0
2WAGA,187.0,2.0,0.0,0.0,7.0,120.0,29.0
2WAGA,187.0,1.0,0.0,0.0,8.0,106.0,29.0
2WAGA,187.0,1.0,0.0,0.0,9.0,106.0,29.0
2WAGA,187.0,1.0,0.0,0.0,10.0,106.0,29.0
2WAGA,187.0,1.0,0.0,0.0,11.0,90.0,29.0
2WAGA,187.0,1.0,0.0,0.0,12.0,63.0,29.0
2WAGA,187.0,1.0,0.0,1.0,13.0,36.0,29.0
2WAGA,187.0,2.0,0.0,0.0,14.0,31.0,29.0
2WAGA,187.0,1.0,0.0,0.0,15.0,30.0,29.0
2WAGA,187.0,1.0,0.0,1.0,16.0,28.0,29.0
2WAGA,187.0,1.0,0.0,1.0,17.0,23.0,29.0
2NX4A,176.0,29.0,17.0,7.0,1.0,1397.0,44.0
2NX4A,176.0,7.0,0.0,3.0,2.0,296.0,44.0
2NX4A,176.0,3.0,0.0,0.0,3.0,285.0,44.0
2NX4A,176.0,7.0,0.0,2.0,4.0,218.0,44.0
2NX4A,176.0,7.0,3.0,3.0,5.0,141.0,44.0
2NX4A,176.0,3.0,0.0,2.0,6.0,133.0,44.0
2NX4A,176.0,3.0,0.0,1.0,7.0,113.0,44.0
2NX4A,176.0,2.0,0.0,0.0,8.0,63.0,44.0
2NX4A,176.0,1.0,0.0,0.0,9.0,63.0,44.0
2NX4A,176.0,2.0,0.0,1.0,10.0,62.0,44.0
2NX4A,176.0,2.0,0.0,0.0,11.0,43.0,44.0
2NX4A,176.0,1.0,0.0,0.0,12.0,42.0,44.0
2NX4A,176.0,1.0,0.0,0.0,13.0,28.0,44.0
2NX4A,176.0,1.0,0.0,0.0,14.0,19.0,44.0
2NX4A,176.0,1.0,0.0,1.0,15.0,2.0,44.0
4Z4AA,71.0,11.0,0.0,2.0,1.0,702.0,21.0
4Z4AA,71.0,8.0,6.0,1.0,2.0,475.0,21.0
4Z4AA,71.0,2.0,1.0,1.0,3.0,171.0,21.0
4Z4AA,71.0,3.0,0.0,3.0,4.0,142.0,21.0
4Z4AA,71.0,1.0,1.0,0.0,5.0,75.0,21.0
4Z4AA,71.0,1.0,0.0,0.0,6.0,41.0,21.0
3NDHA,201.0,15.0,9.0,6.0,1.0,825.0,58.0
3NDHA,201.0,7.0,7.0,3.0,2.0,787.0,58.0
3NDHA,201.0,8.0,2.0,4.0,3.0,481.0,58.0
3NDHA,201.0,2.0,2.0,1.0,4.0,189.0,58.0
3NDHA,201.0,3.0,0.0,1.0,5.0,166.0,58.0
3NDHA,201.0,1.0,1.0,0.0,6.0,158.0,58.0
3NDHA,201.0,2.0,0.0,0.0,7.0,111.0,58.0
3NDHA,201.0,2.0,1.0,0.0,8.0,103.0,58.0
3NDHA,201.0,1.0,0.0,1.0,9.0,98.0,58.0
3NDHA,201.0,3.0,0.0,0.0,10.0,98.0,58.0
3NDHA,201.0,2.0,0.0,1.0,11.0,96.0,58.0
3NDHA,201.0,1.0,1.0,0.0,12.0,95.0,58.0
3NDHA,201.0,1.0,0.0,0.0,13.0,71.0,58.0
3NDHA,201.0,1.0,1.0,0.0,14.0,64.0,58.0
3NDHA,201.0,1.0,0.0,1.0,15.0,48.0,58.0
3NDHA,201.0,2.0,0.0,1.0,16.0,47.0,58.0
3NDHA,201.0,2.0,1.0,1.0,17.0,43.0,58.0
3NDHA,201.0,2.0,0.0,0.0,18.0,42.0,58.0
3NDHA,201.0,2.0,0.0,1.0,19.0,42.0,58.0
3NDHA,201.0,1.0,0.0,1.0,20.0,41.0,58.0
2DSKA,229.0,6.0,1.0,1.0,1.0,360.0,14.0
2DSKA,229.0,3.0,1.0,0.0,2.0,340.0,14.0
2DSKA,229.0,3.0,0.0,0.0,3.0,251.0,14.0
2DSKA,229.0,3.0,0.0,1.0,4.0,197.0,14.0
2DSKA,229.0,3.0,0.0,0.0,5.0,180.0,14.0
2DSKA,229.0,1.0,0.0,0.0,6.0,168.0,14.0
2DSKA,229.0,3.0,0.0,0.0,7.0,164.0,14.0
2DSKA,229.0,2.0,1.0,0.0,8.0,141.0,14.0
2DSKA,229.0,1.0,0.0,0.0,9.0,135.0,14.0
2DSKA,229.0,3.0,0.0,0.0,10.0,90.0,14.0
2DSKA,229.0,2.0,0.0,0.0,11.0,80.0,14.0
2DSKA,229.0,3.0,0.0,1.0,12.0,78.0,14.0
2DSKA,229.0,3.0,0.0,0.0,13.0,76.0,14.0
2DSKA,229.0,1.0,0.0,0.0,14.0,74.0,14.0
2DSKA,229.0,2.0,0.0,0.0,15.0,71.0,14.0
2DSKA,229.0,2.0,0.0,0.0,16.0,62.0,14.0
2DSKA,229.0,1.0,0.0,0.0,17.0,58.0,14.0
2DSKA,229.0,1.0,0.0,0.0,18.0,58.0,14.0
2DSKA,229.0,1.0,0.0,0.0,19.0,57.0,14.0
2DSKA,229.0,2.0,0.0,0.0,20.0,47.0,14.0
1OBBA,410.0,14.0,0.0,1.0,1.0,782.0,28.0
1OBBA,410.0,5.0,0.0,0.0,2.0,327.0,28.0
1OBBA,410.0,5.0,4.0,1.0,3.0,241.0,28.0
1OBBA,410.0,6.0,0.0,0.0,4.0,197.0,28.0
1OBBA,410.0,7.0,0.0,0.0,5.0,191.0,28.0
1OBBA,410.0,4.0,0.0,0.0,6.0,187.0,28.0
1OBBA,410.0,6.0,0.0,0.0,7.0,175.0,28.0
1OBBA,410.0,8.0,0.0,1.0,8.0,171.0,28.0
1OBBA,410.0,4.0,0.0,0.0,9.0,167.0,28.0
1OBBA,410.0,4.0,3.0,0.0,10.0,139.0,28.0
1OBBA,410.0,3.0,0.0,0.0,11.0,126.0,28.0
1OBBA,410.0,2.0,0.0,0.0,12.0,119.0,28.0
1OBBA,410.0,3.0,0.0,0.0,13.0,113.0,28.0
1OBBA,410.0,4.0,0.0,1.0,14.0,112.0,28.0
1OBBA,410.0,1.0,0.0,0.0,15.0,107.0,28.0
1OBBA,410.0,5.0,0.0,0.0,16.0,104.0,28.0
1OBBA,410.0,1.0,1.0,0.0,17.0,73.0,28.0
1OBBA,410.0,3.0,0.0,0.0,18.0,59.0,28.0
1OBBA,410.0,1.0,0.0,0.0,19.0,57.0,28.0
1OBBA,410.0,1.0,0.0,0.0,20.0,53.0,28.0
3M1CA,667.0,78.0,21.0,5.0,1.0,2149.0,72.0
3M1CA,667.0,29.0,18.0,3.0,2.0,2089.0,72.0
3M1CA,667.0,45.0,0.0,6.0,3.0,1636.0,72.0
3M1CA,667.0,13.0,0.0,1.0,4.0,445.0,72.0
3M1CA,667.0,5.0,0.0,0.0,5.0,244.0,72.0
3M1CA,667.0,3.0,0.0,0.0,6.0,202.0,72.0
3M1CA,667.0,2.0,0.0,0.0,7.0,172.0,72.0
3M1CA,667.0,6.0,0.0,1.0,8.0,164.0,72.0
3M1CA,667.0,4.0,0.0,0.0,9.0,163.0,72.0
3M1CA,667.0,4.0,0.0,0.0,10.0,158.0,72.0
3M1CA,667.0,1.0,0.0,0.0,11.0,152.0,72.0
3M1CA,667.0,11.0,0.0,3.0,12.0,152.0,72.0
3M1CA,667.0,8.0,0.0,4.0,13.0,141.0,72.0
3M1CA,667.0,6.0,0.0,0.0,14.0,123.0,72.0
3M1CA,667.0,1.0,0.0,0.0,15.0,108.0,72.0
3M1CA,667.0,2.0,0.0,0.0,16.0,107.0,72.0
3M1CA,667.0,1.0,0.0,0.0,17.0,97.0,72.0
