id,monomer
1x8q,True
4mi7,True
6h7h,False
5czg,True
1lq9,False
2ovj,True
4rek,True
3o3y,True
6dhx,False
5e5y,False
2htd,False
3qec,True
1htw,False
5box,False
3hz6,True
4ntd,True
4gt8,True
1ae9,False
2efk,True
6e3g,False
4yk8,False
5hcn,True
5djh,True
6h57,True
3kbq,False
4qiu,False
1usc,False
5leo,False
6fnw,True
2bti,False
4heo,False
6h6o,False
2w42,False
4zcf,False
5w7w,False
5ean,False
1eok,True
6gbo,False
4qxz,False
3qr2,False
1r4x,True
3ufe,False
3l8w,True
1psw,True
4phr,True
2q4x,False
5ejo,True
1zww,False
4zbl,True
6fx3,False
2ddf,False
5ij7,False
3dcl,False
2r2d,False
5x6v,False
4jj0,False
5b3p,True
3r87,True
6jdp,True
4h0a,False
2ozz,False
6h9y,False
1yle,True
6nzj,False
3d40,True
4m51,True
3jum,False
4h3t,True
5jda,True
3ihm,False
4o5a,True
3i45,True
3hnr,True
2nml,True
5xsj,False
3l4e,True
6ntx,False
1xtt,False
3js8,True
5l9z,False
3s9j,True
4n5x,True
1wwi,True
5cjz,True
3tuo,False
3gff,False
4jnh,False
1ci6,False
6b3v,True
1jm1,True
3t7h,False
2zkt,False
2x9k,True
3s84,False
3wry,False
6dce,True
3iv6,False
3gfa,False
5h7e,True
5i0f,True
2id4,False
3e99,True
2dpl,False
6k3h,False
5i0c,True
1v70,True
5ihw,True
4hud,False
6anw,False
1d0q,False
6hf7,False
4n9g,False
3ij6,False
2hy7,True
3qyf,False
6gxz,False
3i9y,True
4ycs,False
5vhv,False
2qzc,False
4ray,False
4hzo,True
4fpr,False
6mno,False
6nes,False
6coj,False
5itq,True
4ic9,True
6ao7,True
3pid,True
2gpe,False
3gwq,False
5g38,True
4xq7,True
2r7g,False
4p7x,True
1iqz,True
3rwn,False
3fnd,True
1yzy,False
3dh4,False
4dzo,False
1byf,False
3fnb,False
6qfq,True
4dov,False
1v84,False
4tq0,False
3oov,False
6aax,False
6fv4,False
4p5n,False
5jqy,False
5cqg,False
5kds,False
3uh8,True
5faa,True
6gi4,True
6b12,False
5z3e,True
5emb,False
3u2r,True
4hwv,False
4nfa,True
6r5b,False
5b5l,True
1g5a,True
3qoo,True
1r6j,True
4dnc,False
1wvh,True
3w6j,False
3mje,False
1lu4,True
3iwg,False
4hy4,False
6ajk,False
2nrj,True
1or4,False
4i93,False
3kh1,False
3u65,False
6hpo,True
4oyu,False
2e5a,True
1ynp,False
6gqz,False
3n01,False
1r5m,True
5c8a,False
6h1h,True
2w2x,False
6n6a,False
2qlz,False
2z3h,False
3kxp,False
4m8d,False
4l9o,False
4fcg,True
3ahc,True
1sum,True
1f35,False
3npd,True
4q69,False
4mms,False
3iwf,False
5by5,True
1rli,False
1w99,True
3n3m,False
1lf6,False
2d5w,False
4b4c,True
1jg5,False
4lyy,False
3kde,False
3dxp,True
2rhf,True
6ig4,False
4wma,False
4v1t,False
6nio,True
3qhe,False
3ju3,True
2cw9,True
3e3r,False
1p3q,False
5vgb,False
5cqx,False
4m8r,False
3oio,True
3tvi,False
5ja9,False
5fdn,False
2q66,False
3c3p,False
4ftd,True
6eu4,False
6a5h,False
6jyx,False
5dlo,False
4bi3,False
4rl1,True
1gs5,True
5gtu,False
5tt5,True
5vxv,True
2wao,True
6or2,True
5vaf,False
4nyh,False
5tw9,False
3nvx,False
2fe1,True
3e0j,False
3qhq,False
2fex,False
4ov4,True
1v2z,True
4dwe,True
4xt6,True
1gxy,False
5jh8,True
1vaj,True
3rpj,False
3k69,True
1hlv,False
3h9p,False
4qy7,True
5x4k,True
4nbo,False
5mwn,False
3ksr,True
2h9e,False
2f6m,False
3f62,False
3h6r,False
1yg9,True
4rlc,True
4hat,False
3psh,True
6hvn,False
4h18,False
6det,True
5mog,False
3bn3,False
3ke6,False
4hqz,False
6fsn,True
1xhd,True
5csr,False
2vq2,True
5mal,False
3ckj,True
5wzf,False
6jmf,True
4g1q,False
3b7c,True
1juv,True
6ra3,False
4kk7,True
4m0m,True
3jr7,False
5o65,False
4krg,False
4o4f,True
1q9u,False
1h97,False
2xyi,False
2ob5,True
5cdd,False
2e2a,False
1o69,False
6fok,False
5iu0,False
3g7q,True
2ijl,False
3gi7,False
4u9n,False
6obt,True
3by9,False
2p0a,False
3eoi,False
3lwc,True
3mqd,True
4nut,False
3gy9,True
3fd4,False
5yzp,True
1m93,False
5kku,False
4fz0,False
3jui,True
2fgt,True
3lnn,False
5mc9,False
6cc2,True
4lgq,False
6h9l,False
3vub,True
3s4y,False
2au5,True
2dp9,True
3d06,True
2h1t,False
6hln,False
5abv,False
2ayd,True
4ann,True
5ym0,True
4efi,True
1vk6,True
6qp0,True
3tdu,False
1sz7,True
4qvs,True
1z6r,False
1h30,True
6asr,False
2q03,False
5dac,False
3f3b,True
3a5t,False
4wer,True
5dkx,True
4c5w,True
2w3q,True
5z51,False
4bk7,True
2hfe,False
1gve,False
5mx9,True
5zke,False
4bpz,False
5lt5,False
6jhw,False
3vzx,False
4h40,False
5xmz,True
3c9h,False
3ulp,False
5uvd,True
5hdw,True
4ev1,True
5l0l,False
4eu9,False
6bar,True
1sg6,False
5a6m,True
3h79,True
3ijm,False
1mk0,True
1zvt,False
5b71,False
6mj7,True
6bev,False
5hya,True
3o0l,False
6eg8,False
2fdb,False
2grr,False
6dsi,True
5v8s,False
3ttc,True
6s2l,True
1gsa,True
1dmu,False
1g2r,True
5z5k,False
3mf7,True
3ijl,False
1jkg,False
2hrz,True
4i71,True
6bws,False
4rgd,False
3oiq,False
4ok4,False
3c8g,False
4pz0,True
4do7,False
6o7n,False
3u6g,False
4x00,False
3lsn,True
5cg9,False
5odw,False
5fjd,False
1izc,True
2d6y,False
5jrk,False
6jde,False
6hb8,False
5haw,False
2ccv,True
2zds,False
1q5y,False
3tyt,True
4sgb,False
6cz6,False
4zky,False
3dme,False
5xwc,True
2bec,False
1odh,False
2q8v,False
6q6n,False
1wd3,True
2j16,False
1gny,True
5n4a,True
3rc3,True
2ykz,True
4c92,False
1nxu,False
5mkc,False
1nkg,True
5gnf,False
5osi,False
5ffp,False
5nus,False
1x9z,False
6od2,True
3sk7,False
1y63,True
4wck,True
1zhs,False
5a99,True
1xd7,True
5t86,False
4oj8,False
6bub,True
3c5v,True
3i0z,False
4pw1,False
5hxy,False
2op5,False
6mpr,False
1fqj,False
4r0s,False
5gt1,True
6fjv,True
2fqx,True
6hqp,True
2b69,True
1e6u,True
2xov,True
3ajv,False
3vwb,False
2id0,False
4omf,False
3wzi,False
5idv,True
6fwy,False
3qv0,True
4o2t,False
4qdc,True
2pa7,False
2wxy,True
3dtz,False
6qg9,False
1ve2,False
3czx,False
2iuy,False
3bja,True
2hq9,False
4qmg,False
3s63,False
6a5b,True
2pbe,True
6cmk,False
5i7i,False
3h87,False
5xlu,False
3w19,False
1u7n,False
1o66,False
4mv4,True
5v8d,False
2fb6,True
3li9,True
2yy8,False
4gi3,False
1n0e,False
6eqt,False
2e5f,False
2h7o,True
3b2y,False
3tw0,False
6ghc,False
4mix,False
5gng,False
5hdt,False
5zzw,False
4wby,True
3zvk,False
6gke,True
4da2,False
4p0t,False
5afo,False
5dqr,False
1k1x,False
6kcf,False
2ysk,True
5ldv,True
4xe7,True
3na2,False
4axg,False
5chh,True
4raa,True
5eq7,True
6n6j,False
1ghe,False
5zb0,False
3mk4,False
2o5h,False
1kzy,False
6abt,False
5b5z,False
2yh9,False
4qla,False
5i47,False
1m1s,True
3vmk,False
5w0h,True
3efg,True
2yzy,True
3tg2,True
2ga1,False
3hl1,False
1uhv,False
1rmg,True
4i0o,True
3d6z,False
4zmi,True
3woz,False
1mj5,True
6nbr,False
4xr9,False
5u2l,True
2jkh,False
6pi9,True
4rsw,False
2qhb,False
3c70,True
5uam,False
1wvf,True
4kf8,False
6et0,False
6ffa,False
1wl8,True
2vxg,False
6ctz,True
4eyc,False
4uzz,False
4lyp,False
2fbi,True
3oo8,True
6gv8,True
6m7y,False
3zui,True
3r0a,False
6idp,True
4xal,False
4mlz,False
2xdh,True
5m2y,False
3rko,False
2b97,False
5z1n,True
3hrd,False
3onh,True
5x9i,False
3g8q,False
6cwq,False
3gjy,True
3mdq,True
2d1l,False
2qkp,False
2ioj,False
4ywt,False
6df3,False
4y7u,True
4pz1,True
1kmt,False
3dal,False
3lvk,False
6dt7,False
2fno,False
4rjw,True
4hyl,False
4c9s,False
5mpw,False
1xsz,False
2ghv,False
1y0k,True
4qyb,False
2p5k,True
3mhs,False
3mkq,False
3cx5,False
1w6k,True
4fzs,False
6cxg,False
4mb7,True
5z42,True
5aoz,True
5kux,True
1k8w,False
1q77,False
4ba0,True
2gia,False
4aqn,False
2a6q,False
4k7r,True
1no7,False
5ctv,False
5uuj,True
3o4p,True
4hd1,True
4icg,False
3tui,False
3chm,True
3nw4,True
2bbr,True
3b59,False
5wco,False
3g7r,False
2dcl,False
5a9t,True
4ni6,True
4a56,True
4mes,False
5fvn,False
3zco,True
3erb,True
3ecs,False
6gg1,True
5jp4,False
3f7f,False
5l16,True
5yfc,False
1c8u,False
3mer,False
3amr,True
2rkh,True
3c5p,False
5vk3,False
2cxi,False
4s28,True
2hfg,False
5bx1,True
6evu,True
2ql3,False
5ts9,False
1njr,True
6mos,True
3sjm,False
1hh8,True
5kvg,False
2bkf,True
5xhb,True
3shq,True
1yar,False
2zxx,False
4tr6,False
3hj4,False
4mve,False
4z3t,False
5kvs,False
5oi7,False
6a2a,False
3lm2,False
3u64,True
3kff,True
5k2l,True
2qxf,True
4jch,False
4wd1,True
3hn0,False
2yve,False
6f8a,False
1np0,False
3te6,False
4kv2,False
3r1k,True
5vli,False
3gg7,True
6a1k,False
4xgu,False
2qud,False
4yk2,False
5yad,False
1f0x,False
6cxt,False
3vuq,False
6dnm,True
5j8y,False
2hc8,True
1ywf,True
6r5c,False
4nqi,False
4bwv,False
3rst,False
4hsp,True
5n4i,True
5bs1,False
2gv9,False
6c4q,True
3p2m,True
2j73,False
2pw6,True
5xav,False
4qtj,False
4czg,True
3vvv,True
5jfk,False
3wkx,True
2ixs,False
1s29,True
5j7m,False
5jen,False
3aks,True
4ep4,False
2qhl,False
5odj,True
2w4s,False
6nvp,True
6fy5,False
4rp9,True
4e0e,False
4jb3,True
3sqz,True
1xip,True
1ayo,False
1h12,True
5w5p,True
6foa,True
5cfd,False
2riq,True
2dtc,False
4u5w,False
5bmt,False
6gy5,False
6hgm,False
4fp4,False
5t1p,False
2h88,False
4fqe,True
3mcx,True
6bcb,False
2fsq,True
1zkp,False
5d6e,True
4geh,False
1yad,False
4xdu,True
3iuu,True
5l8r,False
4rel,True
2wpx,False
4pkm,True
3snk,True
3r2u,False
5enq,False
6i7s,False
2ecu,False
4ywa,False
3umo,False
5wwd,False
4ynl,False
4kfu,False
1xmx,True
3oou,True
1p90,True
4xcb,False
5ziy,False
1nko,True
3cxg,False
6gn8,False
3bqp,False
4yds,True
6nuf,False
4uyp,False
2inw,False
3w1e,True
3l51,False
4a29,True
4mk6,True
4ovy,True
2o0m,True
3km5,False
6m96,False
5tta,False
3ohe,False
3f1l,False
4avs,False
4dri,False
5c6k,False
4ypc,True
4aco,True
4dt4,True
5nm4,True
3i7a,True
1n40,True
4zkj,False
3aqb,False
3qft,True
5k21,False
6rra,True
1qd1,False
4h5i,False
4lxq,False
2hlz,False
6in9,False
6e1x,False
5o8p,False
4bjm,False
2qsv,True
1d3b,False
1o8x,True
3ku3,False
1xg8,True
4k90,False
5fgl,False
6mxv,False
2dkj,False
4il7,True
3gn4,False
5cv0,False
3gax,False
1c1d,False
3lpm,False
5b0o,False
4f87,False
4yqd,True
4q7o,False
1e9r,False
1vjq,False
2xfg,False
6hmq,True
4phz,False
6ifd,False
3sk9,True
1k3i,True
5vog,True
4hfx,False
2iz6,False
1ftr,False
2ib0,False
4a0p,True
1twf,False
3bq3,True
6g6k,False
6ay8,True
2yiz,False
1m2x,False
3gn3,False
2bnl,False
5ubf,False
1xjv,False
4hhj,True
1pz4,True
3hl6,False
4n2k,True
4u5a,False
2yb1,True
2bji,False
3nqb,False
2etv,False
5x7l,False
4ac1,True
6j9r,False
2cve,True
4nec,False
4e3e,False
2cua,False
4fgq,False
5gzk,False
1zx8,False
4ru0,False
4xra,False
3qbr,False
3v71,False
4lgy,True
5y5s,False
3dnj,False
4cic,False
3s5l,False
4dpb,True
2bsy,True
3hie,False
2x9o,True
1vsr,True
5xtu,True
4jg9,False
6hyo,True
3it4,False
5fir,False
5thk,False
3uim,True
1fo0,False
3h1d,True
1qkr,False
3ozx,False
4l8a,True
1lo7,True
4dcm,True
4bsx,False
4a6h,False
16vp,True
3box,False
6ftt,False
3ghj,True
4c6a,True
1i8a,True
3ose,True
1kq3,True
4erc,False
3f7s,True
3vy8,True
1x6z,True
1lpb,False
2qtv,False
3e2o,True
5m1p,False
6arz,False
2a2m,False
3wwq,False
3oa8,False
4q29,False
6jj4,True
1v33,True
5ejy,True
5wvo,False
3uf6,False
4g3n,True
5d78,True
2ozh,True
3zjx,False
6g2g,False
4qrl,True
6kcq,False
2r9f,True
3crr,True
1rt8,True
2xwv,True
5fno,False
6nr6,False
6qlh,True
4aqr,False
4gwb,True
2w5q,True
5z7b,False
2hnu,False
2etb,True
5aog,True
5vfz,True
1uun,False
5le5,False
1ejf,False
4xot,True
4jqf,True
5fb4,False
2j8k,True
2v7f,True
5is2,True
6emg,False
4dzz,False
3u2u,False
4lid,False
6cdd,False
3h5l,False
2q97,False
3egw,False
3o94,False
6jnj,False
6gzj,False
4l2h,True
5o7h,False
5v50,False
1qlw,False
2gzs,True
5lw3,True
5fma,False
4jwj,False
1sby,False
2hxi,False
3wwn,False
4wvr,False
5wqv,False
3t9w,True
3net,False
2p65,True
6mic,True
5c2u,False
4a7w,False
4ix1,False
3l9a,True
4o87,False
2yin,False
3r3q,True
4kwy,False
1oi0,False
3kp1,False
3nbc,False
6n2n,False
5wt9,False
5fq1,False
5tgq,True
3muj,False
2z3q,False
1edz,True
1peq,True
6rek,True
5w95,False
6er6,False
3lyx,False
2iks,False
3ne5,False
6hk5,False
6s29,False
5twb,True
4r9f,True
1qg8,True
1rv9,True
4lf0,True
1ms9,False
6n70,False
1lfw,True
2g30,False
3tdg,True
3cm1,False
2opi,False
1zc3,False
1u7k,False
4xax,False
5kht,False
6cqo,False
2ebo,False
2iqc,True
1no5,False
3bhq,False
2q0o,False
4i0w,False
1l7a,False
5kfz,False
4w9w,True
5opg,True
2vun,False
3bpt,True
2g0t,False
3cqc,False
4noo,False
2hth,False
1vmb,True
4zv5,False
6n4l,True
5zol,False
6atg,False
3keb,False
5cd6,False
6rni,False
4krr,True
3h0n,True
1jye,True
4rgp,False
4yz0,False
6rm0,True
2plg,False
2z6o,True
6cpy,False
1eay,False
5mv4,False
2v03,True
5oho,False
5ezq,True
5fsh,False
4fc9,False
3c2q,False
2fd4,True
3a1s,False
4kg0,True
5kla,False
6gsz,True
3cdd,False
5a67,True
4e9s,True
4y04,True
2e11,False
4d9i,False
6qj2,False
4mym,True
6eoz,True
4qcl,False
1p91,False
5uwz,True
4ab5,False
5azw,False
6cbr,False
6osx,True
1qo0,False
6h4d,True
4tqx,True
5ix8,False
3fjv,False
3bl9,False
4npd,True
4lun,True
6n74,False
5z1g,False
5lxn,False
3jyb,False
1r7l,False
1g5h,False
2ix5,False
3d4u,False
4ywf,True
6p3p,True
5edj,True
3m03,False
1uv7,False
4wxm,False
1jid,False
1rcy,True
5a8j,True
3cqn,False
3m7a,False
4cxf,False
2pan,False
1jad,False
3vk8,False
4zd6,False
1fnn,False
5e75,True
4dnd,True
6ofn,False
5hgz,True
1jy2,False
2x49,True
5vg3,False
2gmq,False
3pow,True
3dzm,False
4ewf,False
2doq,False
3neh,False
4nft,False
2bsj,False
4zua,False
3e1e,False
4i79,False
5v5h,False
3fz2,False
3ake,True
1zps,False
2yij,False
3om0,True
3l00,True
2b9e,True
6qfj,False
3phh,True
5bxg,True
4k7b,True
2fg1,True
4axi,False
5noa,True
1y6x,True
3te8,False
5hwe,True
4evf,True
4kmd,False
1wc2,True
5vyq,False
3pp9,False
6gut,False
3o2r,False
2vak,False
5feb,True
3rq1,False
3zt9,True
4aru,True
5x1e,False
3pl8,True
4j8e,False
5msn,False
1msc,True
1fn9,False
4rcj,False
2ns6,True
4wpy,True
3bkh,True
2qu8,True
1pea,True
1dz3,True
3lpe,False
3bvf,False
1t0b,False
6dew,False
5vkd,False
1w5q,False
3ii2,True
4lg3,False
2jd3,False
5v7o,True
6dnq,False
1n67,True
4zo2,False
5udq,False
3r41,False
3ppm,False
3d31,False
3iuk,False
6afw,False
4i3m,True
4kh8,True
1wpb,False
4axv,True
1xr4,False
3mkr,False
4m70,False
6a5a,False
5zyu,False
6a17,True
3f43,True
2pjp,False
5xdt,True
5bp9,True
3cjl,False
1wdj,False
1kve,False
5dj4,False
5ul9,False
6qv5,True
4y2f,True
2w72,False
3lb2,False
2pd1,False
4r2x,False
6ita,True
4dlh,False
3dmc,False
4rxv,True
2xu0,True
3jq1,False
1gmi,True
1aro,False
5mc7,False
3un6,True
1h80,False
1utg,True
3dao,False
2vxn,True
3hv8,True
1xkr,True
4o4a,False
2jis,False
5wyl,False
4o6k,False
2q02,False
4l8h,False
2atz,True
2ccm,False
2f1f,False
3qc7,True
2yk4,True
3kog,True
6byp,False
1vh5,False
6i0i,False
2chg,False
4mgq,True
5ctt,False
5dz2,False
3kxt,False
4kp3,False
5yf4,False
5y1a,True
2qyc,False
4gjz,True
2x55,True
4qdy,True
3gcg,False
1mr7,False
5b4b,False
6cbu,True
4h6c,False
2guz,False
3m1c,False
4nt1,False
2ebb,True
1y88,True
5uct,False
5j8b,False
2f2c,False
1e44,False
3v0d,False
3n0u,False
3t7z,True
4xpl,True
1p3h,False
2x8k,False
1ra0,True
4q0y,False
1dqp,False
3pf2,True
5sui,True
1wyz,False
4lfh,False
1zup,False
6ab9,True
2f01,False
6cnw,True
5w8o,False
3wj7,False
5mqi,True
3ieg,False
4dny,True
6i9k,True
6bk0,True
3t5x,False
3wcq,True
2a35,False
3c8d,False
3ipj,False
6ro8,True
5ywz,True
4bxm,False
5l20,False
3glc,False
6hto,False
6iuh,False
4xy5,False
3g1j,False
6cn8,False
3u66,True
4n0p,False
5jnb,False
4gzk,True
2i9c,True
4u5r,False
3rx9,True
4h4n,True
2qb7,False
3ggd,True
5dmr,False
3spa,False
5d5n,False
5flw,False
1nh1,True
1szi,True
6bdj,False
4lps,False
1h32,False
4hrn,False
2izx,False
5bop,False
4e8u,False
3t92,True
2a5y,False
5a9c,True
2q82,True
1ydy,False
4ekx,False
2r5o,False
1hm9,False
4xzz,False
5ajo,False
4f06,True
3qu5,False
3f6v,True
2vc8,True
6n19,False
2gef,False
3tgx,False
6g6s,False
3e38,False
2i39,False
5f47,False
3knd,False
4ag6,False
6i3q,False
2z8f,False
4e57,False
2vy1,False
6nft,False
2izw,False
3q6b,True
4rm7,True
5kko,False
3gdc,False
6ig2,False
3fld,False
4r1j,True
2vp7,False
4q38,True
4o7j,False
6hqo,True
5z11,False
3lcc,True
6jld,False
2b06,True
3k3c,False
3al2,True
4qam,False
2gb7,False
2rd9,False
1lj2,False
4f2m,False
4olo,False
6mnn,False
4hfk,False
3cov,False
2dho,True
2r3s,False
5eom,False
3h51,False
5d5k,False
3nyc,True
3qhp,False
4fsd,True
6n75,False
4zur,False
3f79,False
5wst,False
3cvj,False
5vit,False
5dmd,False
2gv5,False
3f3f,False
3h16,False
2qea,False
3bam,False
4twk,False
1yki,False
4a1r,False
3get,False
4zav,True
1o88,True
1mgt,True
2wzr,False
5v1d,False
5yo8,False
3b33,True
1qd6,False
6h24,False
4ca1,False
5tif,True
3bz5,True
2aeg,False
3plt,False
2o4t,True
4zuy,False
5hb3,False
4e4r,True
4a15,False
3gem,False
5wdd,False
5npt,True
3mtr,False
3hsl,True
3rip,True
3jyz,True
1g8e,False
6g8y,True
3f9x,False
2acf,False
2i10,False
1tke,True
6dlo,False
2p0n,False
3k50,True
3ndz,False
5wx9,False
5vg7,False
4yb8,False
6rcq,False
3l6i,False
3ix7,False
3rmh,False
5ezu,False
4fb2,False
5fa8,True
4gjr,False
3nyy,True
2gv8,False
5d1m,False
4s1p,True
4nuu,False
3fwz,False
6er4,False
4ojx,True
6c30,False
5fbs,True
5h9n,True
4dz4,False
4em2,True
2p5v,False
4o2h,False
6bxr,True
3b34,True
2f69,False
2ap3,True
3enu,True
6cfx,False
3qsg,True
5yax,False
1xki,True
2dla,False
2b1e,True
2np3,False
2zcx,True
3rzn,True
3col,False
4ha7,False
6qur,True
1wb9,False
3tek,False
1y1p,False
6dao,False
5kf9,True
5d3e,False
6d8v,True
3b0x,True
3nuq,True
4s36,True
4hbs,True
4wji,True
1gpp,True
5wti,False
5cr4,False
3wdc,False
4egw,False
6ei3,True
2p4h,True
3k0y,True
5i3e,False
2e9x,False
3cvg,False
3zid,False
3thf,False
6qk4,True
3lfr,False
5aq5,False
2eui,False
1ng0,False
3ven,True
3nku,False
6nfe,False
4r8h,False
3goe,True
6dm9,False
5iuf,False
3u07,False
6dzo,False
2hjm,False
4fxw,False
3os4,False
4aiv,True
3g1p,False
5ubw,False
6ms4,False
6a27,False
3it5,False
1n93,True
2i5v,True
5uq2,False
2wpv,False
6ha4,True
2v7k,True
3q6z,True
4w9r,False
2pag,True
2zb4,True
2nog,False
3ljn,True
1urq,False
3bpd,False
5yku,True
1rjd,False
1p57,False
3gzi,True
1quu,True
2c5l,False
4m3o,False
5i2c,False
4jgi,False
1xs0,False
5n0k,True
6hcp,False
5fwh,True
5tkw,True
1yu0,True
1wlf,True
4o7k,True
4nhe,False
1wmi,False
6fxj,False
4k4k,False
1s9u,True
5fc2,False
4zr1,False
4r5r,False
3t47,False
3l60,True
6el2,False
6ii6,False
2qv3,True
4o9d,False
3p9v,False
4dpz,True
6fxd,False
3wae,False
3piv,False
5caj,False
2aib,False
3da5,False
3wky,False
1u7l,True
1aho,True
4jgl,True
3h1n,False
6j4k,False
3e6c,False
3l5i,True
2yh5,True
2fsx,True
4beu,True
6ped,False
3tac,False
3kvh,True
5mdt,True
3al9,False
1l3p,True
3l5o,False
2rkl,False
1srq,False
4ee6,False
1h2k,False
1u94,True
3l6t,False
4fdy,False
4jgw,False
2rbd,False
1a1x,True
2wvb,False
4qpv,False
3dbx,False
3p4g,False
3f6g,False
1tht,False
1w0h,True
3tdq,False
2pih,False
2f4n,False
4kru,True
4eo0,True
3nkg,False
2ygk,False
3huf,False
5bow,True
2f4w,False
1usu,False
4cnn,False
5hub,True
6r52,False
4m91,False
4x9c,False
3o1i,False
4auo,False
5wrk,False
4r4k,False
4zwq,False
1dek,False
6e6a,False
3r0v,True
6mag,False
5y5a,False
1ah7,True
3oss,False
6iwv,False
3pj0,False
4oi4,False
6ans,False
6a6o,True
6fg8,False
4o06,True
5aox,False
3u02,False
2wj9,False
2z4s,True
4x8k,False
1xg0,False
5tde,False
5t7a,False
6ahv,True
2ip1,True
5uno,True
4f03,False
2fd5,True
5x9v,False
1zva,True
2npt,False
1hfe,False
1hf2,False
4eqq,False
2g5g,True
2rde,False
3dlc,True
6dcm,True
4ix8,False
3h05,False
3og2,True
4v4m,False
4akk,False
3fso,False
3hpc,True
2y9u,True
5u3a,True
2xep,False
4kvx,False
3egl,False
3r2c,False
4x5p,True
4hl4,True
2i3d,False
4ryk,True
4wsf,False
6qyi,False
3a4m,False
4osn,True
2p3h,True
2uw1,False
4xpq,True
4cgq,False
1zar,True
2z86,False
4l7a,False
5yhu,False
1uvj,False
4hhx,True
4jbd,True
2qgm,True
3gwc,False
5xss,False
3eo7,True
1n3l,True
3c5n,False
4v2o,False
1y5h,False
2q07,True
2a5h,False
4wmy,False
5umf,False
6gaj,False
4zfv,False
